congestion,n,runtime_mean,loaded_mean,load_rate_mean,utilization_mean,mip_gap_max,max_violation,discharge_inversions_max
balanced,30,0.2846707929999184,30.0,1.0,0.19968094783169915,0.0,2.664535259100376e-15,0
balanced,50,5.068279459999985,50.0,1.0,0.33902622590682213,8.166587524037608e-05,4.884981308350689e-15,0
heavy,30,0.49251381150003226,30.0,1.0,0.2650572609248326,0.0,1.0658141036401504e-14,0
heavy,50,5.097551034999981,49.5,0.99,0.4273135525838855,0.9378468984896328,4.781730567060549e-12,0
