intensity,arrival_scale,congestion,pairs,loaded_diff_mean,loaded_diff_min,deferred_diff_mean,wait_diff_mean,runtime_change_pct_mean,runtime_change_pct_median,score_change_pct_mean,score_change_pct_median,full_runtime_mean,ngflo_runtime_mean,full_loaded_mean,ngflo_loaded_mean,full_deferred_mean,ngflo_deferred_mean,full_wait_mean,ngflo_wait_mean,ngflo_fallback_mean
low,0.6,balanced,3,0.0,0.0,0.0,0.0,-0.6491277576638921,0.0208214415315932,-0.6491277576638927,0.0208214415316097,0.2078516483334169,0.2069058349998158,19.33333333333333,19.33333333333333,0.0,0.0,0.0,0.0,0.0
low,0.6,car_dense,3,0.0,0.0,0.0,0.0,0.0593026790580486,0.2367332534747745,0.0593026790580431,0.2367332534747875,0.2397762600000229,0.2400844099999327,19.33333333333333,19.33333333333333,0.0,0.0,0.0,0.0,0.0
low,0.6,heavy,3,0.0,0.0,0.0,0.0,0.9855178152780328,1.428463321583573,0.5112880186554356,0.0057739317157682,0.1987728716667334,0.2001865966670569,19.0,19.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
medium,1.0,balanced,3,0.0,0.0,0.0,0.0,-0.170994943517803,-0.5748971323386698,0.0059563617561016,-0.00015866083755,0.6280335189991698,0.6263329800006735,33.333333333333336,33.333333333333336,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0
medium,1.0,car_dense,3,0.0,0.0,0.0,0.0,0.2413383723181487,1.426818288716225,-0.2313679819271317,0.0086992259803597,0.4486504283328638,0.4496711213332673,34.0,34.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
medium,1.0,heavy,3,0.0,0.0,0.0,0.0,0.0937394085385956,0.1009269921464994,-0.0006569299231449,0.0002342204308477,0.3006596210000983,0.2996646803330804,33.0,33.0,0.3333333333333333,0.3333333333333333,3.333333333333333,3.333333333333333,0.0
high,1.4,balanced,3,0.0,0.0,0.0,0.0,0.5402242457700343,0.9979806445781448,-0.2003574767657159,0.0001466410882575,0.3048529379993852,0.3067821599991778,47.0,47.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,0.0
high,1.4,car_dense,3,0.0,0.0,0.0,0.0,2.079818764325754,1.864302318497524,2.0658669858904086,0.0019677620916148,0.2962455920002564,0.3034349963333322,47.333333333333336,47.333333333333336,0.0,0.0,2.6666666666666665,2.6666666666666665,0.0
high,1.4,heavy,3,0.0,0.0,0.0,0.0,-0.1972954971929212,0.0695404753695116,-0.0011185670401339,5.996713573503935e-06,0.3399771796672818,0.3395316476662628,42.0,42.0,0.6666666666666666,0.6666666666666666,6.0,6.0,0.0
