congestion,n,runs,certified_1e6,certified_1e4,runtime_mean,runtime_max,load_rate_mean,utilization_mean,mip_gap_max,max_violation,discharge_inversions_max
balanced,20,3,3,3,0.1750013086666513,0.2114327049999929,1.0,0.12967835176469816,0.0,1.3322676295501878e-15,0
balanced,30,3,3,3,0.2814429666666834,0.3181830050000371,1.0,0.1973203696153479,0.0,6.661338147750939e-15,0
balanced,40,3,3,3,0.511234654666661,0.8009641150000562,1.0,0.26731471372722887,0.0,1.1657341758564144e-14,0
balanced,50,3,2,3,7.537261637333434,10.052739194000196,1.0,0.33730208899172,5.9584642388840544e-05,5.687894599759602e-12,0
car_dense,20,3,3,3,0.1820450203332863,0.1995327790000374,1.0,0.10575724508527469,0.0,0.0,0
car_dense,30,3,3,3,0.3198766549999921,0.3388441669999338,1.0,0.16151315194813085,0.0,7.993605777301127e-15,0
car_dense,40,3,3,3,0.4563757763333645,0.4738204989998849,1.0,0.2137286482420729,0.0,1.7763568394002505e-15,0
car_dense,50,3,3,3,0.7030608160000611,0.7244079960000818,1.0,0.2750658441907379,0.0,3.3306690738754696e-16,0
heavy,20,3,3,3,0.14698872733333698,0.176076590999969,1.0,0.17048824224874268,0.0,2.664535259100376e-15,0
heavy,30,3,3,3,0.4455932996666358,0.5955279659999633,1.0,0.25881497003107706,0.0,1.0658141036401504e-14,0
heavy,40,3,3,3,0.912149293333338,1.376983444000189,1.0,0.35399265521143103,0.0,1.7468249069452213e-12,0
